beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
4.00,1.50,1810.00,sqft,9998.00,sqft,98133,764000.00
4.00,3.00,2840.00,sqft,9996.00,sqft,98177,1350000.00
3.00,1.50,1870.00,sqft,9975.00,sqft,98168,500000.00
4.00,3.00,2560.00,sqft,9956.00,sqft,98115,890000.00
4.00,2.00,1830.00,sqft,9920.00,sqft,98146,535000.00
3.00,2.50,2920.00,sqft,9918.00,sqft,98133,985000.00
3.00,2.50,2080.00,sqft,9880.00,sqft,98117,977000.00
3.00,1.00,1000.00,sqft,9856.00,sqft,98136,750000.00
1.00,1.00,1113.00,sqft,9830.00,sqft,98102,595000.00
4.00,3.00,3120.00,sqft,9750.00,sqft,98144,1670000.00
3.00,2.00,2630.00,sqft,9702.00,sqft,98117,1290000.00
4.00,2.50,2340.00,sqft,9670.00,sqft,98106,870000.00
4.00,2.00,1710.00,sqft,9660.00,sqft,98118,685000.00
4.00,3.00,2230.00,sqft,9625.00,sqft,98178,1205000.00
4.00,2.00,2010.00,sqft,9612.00,sqft,98105,1250000.00
2.00,2.00,1889.00,sqft,9601.00,sqft,98112,2750000.00
1.00,1.00,861.00,sqft,9600.00,sqft,98126,405000.00
4.00,2.00,1170.00,sqft,9594.00,sqft,98168,530000.00
4.00,2.50,2050.00,sqft,9555.00,sqft,98177,805000.00
4.00,2.00,2340.00,sqft,9500.00,sqft,98178,699000.00
4.00,2.50,2320.00,sqft,9500.00,sqft,98108,1001000.00
4.00,3.00,2430.00,sqft,9500.00,sqft,98146,520000.00
4.00,3.50,3487.00,sqft,9500.00,sqft,98136,2010000.00
3.00,2.50,4240.00,sqft,9487.00,sqft,98116,2725000.00
3.00,3.00,2320.00,sqft,9465.00,sqft,98125,675000.00
4.00,5.50,3100.00,sqft,9450.00,sqft,98125,1375000.00
2.00,3.00,1840.00,sqft,9420.00,sqft,98125,800000.00
3.00,1.00,1920.00,sqft,9399.00,sqft,98117,725000.00
3.00,1.50,1390.00,sqft,9350.00,sqft,98168,412000.00
4.00,2.50,3080.00,sqft,9300.00,sqft,98168,650000.00
4.00,2.00,2220.00,sqft,9295.00,sqft,98177,995000.00
3.00,2.00,2140.00,sqft,9290.00,sqft,98133,925000.00
5.00,3.50,3200.00,sqft,9260.00,sqft,98133,1275000.00
4.00,2.00,1170.00,sqft,9216.00,sqft,98178,390000.00
4.00,1.50,1740.00,sqft,9205.00,sqft,98146,649950.00
5.00,3.00,2550.00,sqft,9192.00,sqft,98125,1450000.00
3.00,1.00,1200.00,sqft,9180.00,sqft,98168,500000.00
3.00,3.00,1480.00,sqft,9127.00,sqft,98117,729000.00
3.00,1.50,1280.00,sqft,9100.00,sqft,98146,625000.00
3.00,2.50,2600.00,sqft,9100.00,sqft,98146,875000.00
3.00,2.00,1440.00,sqft,9065.00,sqft,98133,830000.00
3.00,1.00,1964.00,sqft,9050.00,sqft,98168,625000.00
4.00,5.50,2410.00,sqft,9000.00,sqft,98146,1500000.00
3.00,1.50,1430.00,sqft,8992.00,sqft,98168,438000.00
4.00,2.50,2780.00,sqft,8967.00,sqft,98136,1530000.00
4.00,5.50,4040.00,sqft,8965.00,sqft,98105,5495000.00
1.00,1.00,780.00,sqft,8960.00,sqft,98106,500000.00
3.00,2.00,1590.00,sqft,8937.00,sqft,98106,720000.00
3.00,1.00,2560.00,sqft,8927.00,sqft,98125,776000.00
3.00,2.00,1400.00,sqft,8910.00,sqft,98106,530000.00
3.00,2.00,1060.00,sqft,8910.00,sqft,98106,575000.00
2.00,1.00,1060.00,sqft,8908.00,sqft,98125,700000.00
2.00,1.00,886.00,sqft,8863.00,sqft,98112,620000.00
5.00,4.00,3240.00,sqft,8820.00,sqft,98199,1825000.00
6.00,3.00,2350.00,sqft,8800.00,sqft,98118,850000.00
2.00,1.00,2300.00,sqft,8799.00,sqft,98168,525000.00
2.00,1.00,680.00,sqft,8795.00,sqft,98125,625000.00
4.00,2.00,1530.00,sqft,8782.00,sqft,98118,645000.00
4.00,1.50,1940.00,sqft,8778.00,sqft,98118,520000.00
4.00,2.00,2370.00,sqft,8775.00,sqft,98125,1125000.00
4.00,2.00,2060.00,sqft,8762.00,sqft,98168,575000.00
4.00,2.50,2500.00,sqft,8760.00,sqft,98146,577000.00
2.00,2.00,2353.00,sqft,8750.00,sqft,98116,1160000.00
4.00,2.00,2630.00,sqft,8750.00,sqft,98115,1350000.00
5.00,2.50,2870.00,sqft,8741.00,sqft,98168,520000.00
3.00,2.00,1990.00,sqft,8710.00,sqft,98146,730000.00
4.00,3.00,2240.00,sqft,8691.00,sqft,98118,625000.00
2.00,1.00,760.00,sqft,8686.00,sqft,98115,775000.00
3.00,2.00,1600.00,sqft,8640.00,sqft,98117,877500.00
8.00,4.00,3136.00,sqft,8636.00,sqft,98146,1005000.00
7.00,6.00,7636.00,sqft,8625.00,sqft,98103,2225000.00
3.00,3.00,2650.00,sqft,8612.00,sqft,98105,1600000.00
3.00,2.00,1380.00,sqft,8580.00,sqft,98125,775000.00
3.00,2.00,1670.00,sqft,8573.00,sqft,98146,620000.00
4.00,3.00,2440.00,sqft,8556.00,sqft,98199,1850000.00
3.00,3.00,1970.00,sqft,8540.00,sqft,98177,1395000.00
4.00,1.00,1470.00,sqft,8520.00,sqft,98125,699999.00
2.00,2.00,1390.00,sqft,8509.00,sqft,98116,954500.00
3.00,1.50,1540.00,sqft,8505.00,sqft,98178,535000.00
3.00,3.50,2650.00,sqft,8500.00,sqft,98136,1095000.00
5.00,2.00,4190.00,sqft,8500.00,sqft,98119,2300000.00
3.00,2.00,1730.00,sqft,8421.00,sqft,98125,910000.00
4.00,2.00,2640.00,sqft,8385.00,sqft,98168,780000.00
2.00,1.00,680.00,sqft,8382.00,sqft,98146,565000.00
3.00,3.00,1720.00,sqft,8370.00,sqft,98177,865000.00
4.00,2.00,2910.00,sqft,8360.00,sqft,98115,1400000.00
4.00,3.00,2700.00,sqft,8360.00,sqft,98199,1100000.00
3.00,2.00,2740.00,sqft,8340.00,sqft,98177,1305000.00
5.00,2.50,3350.00,sqft,8317.00,sqft,98126,1275000.00
3.00,2.00,1740.00,sqft,8309.00,sqft,98115,1070000.00
4.00,3.00,2481.00,sqft,8297.00,sqft,98115,999000.00
2.00,2.00,1164.00,sqft,8280.00,sqft,98117,706474.00
2.00,1.00,860.00,sqft,8280.00,sqft,98125,675000.00
3.00,2.50,1500.00,sqft,8240.00,sqft,98105,860000.00
5.00,5.50,5770.00,sqft,8226.00,sqft,98122,5000000.00
3.00,3.00,4010.00,sqft,8207.00,sqft,98112,3050000.00
2.00,1.00,780.00,sqft,8184.00,sqft,98118,675000.00
2.00,1.00,2110.00,sqft,8160.00,sqft,98146,376000.00
4.00,2.00,2400.00,sqft,8160.00,sqft,98177,900000.00
3.00,3.00,1760.00,sqft,8160.00,sqft,98125,670000.00
3.00,1.00,970.00,sqft,8160.00,sqft,98177,625000.00
5.00,3.00,1900.00,sqft,8160.00,sqft,98118,895000.00
2.00,1.00,840.00,sqft,8150.00,sqft,98118,495000.00
3.00,2.00,2020.00,sqft,8120.00,sqft,98125,950000.00
4.00,2.00,1730.00,sqft,8100.00,sqft,98146,852000.00
3.00,1.00,990.00,sqft,8100.00,sqft,98146,635000.00
2.00,2.00,1440.00,sqft,8100.00,sqft,98168,390000.00
5.00,2.00,2180.00,sqft,8100.00,sqft,98122,950000.00
3.00,2.00,1360.00,sqft,8100.00,sqft,98125,850000.00
4.00,2.50,3707.00,sqft,8100.00,sqft,98177,2100000.00
3.00,1.00,1170.00,sqft,8100.00,sqft,98133,825000.00
1.00,1.00,460.00,sqft,8094.00,sqft,98108,1250000.00
4.00,2.00,2000.00,sqft,8077.00,sqft,98125,907200.00
3.00,1.50,1550.00,sqft,8070.00,sqft,98133,835000.00
2.00,1.50,960.00,sqft,8057.00,sqft,98199,515000.00
3.00,1.00,860.00,sqft,8054.00,sqft,98178,425000.00
4.00,3.00,3610.00,sqft,8037.00,sqft,98105,2330000.00
5.00,2.50,4639.00,sqft,8036.00,sqft,98112,3350000.00
3.00,2.00,2250.00,sqft,8030.00,sqft,98105,2080000.00
3.00,2.50,2600.00,sqft,8023.00,sqft,98136,1475000.00
4.00,2.00,1700.00,sqft,8001.00,sqft,98125,891000.00
4.00,2.50,2720.00,sqft,8000.00,sqft,98136,1315000.00
5.00,5.00,3623.00,sqft,8000.00,sqft,98115,1975000.00
4.00,2.00,2280.00,sqft,8000.00,sqft,98168,640000.00
2.00,2.00,1200.00,sqft,8000.00,sqft,98199,519000.00
2.00,2.00,900.00,sqft,8000.00,sqft,98122,590000.00
3.00,3.00,3400.00,sqft,8000.00,sqft,98136,1150000.00
3.00,2.50,2340.00,sqft,8000.00,sqft,98177,1900000.00
6.00,3.00,2440.00,sqft,8000.00,sqft,98144,925000.00
3.00,2.50,1860.00,sqft,7992.00,sqft,98136,1050000.00
5.00,3.00,3820.00,sqft,7980.00,sqft,98116,1575000.00
4.00,5.00,2970.00,sqft,7961.00,sqft,98125,1450000.00
3.00,2.50,2230.00,sqft,7944.00,sqft,98178,555000.00
3.00,2.00,2270.00,sqft,7920.00,sqft,98122,1550000.00
3.00,2.00,2170.00,sqft,7920.00,sqft,98178,560000.00
9.00,5.00,3014.00,sqft,7908.00,sqft,98178,835000.00
6.00,6.00,1780.00,sqft,7900.00,sqft,98168,733500.00
4.00,2.00,2245.00,sqft,7892.00,sqft,98178,775000.00
4.00,2.50,3105.00,sqft,7875.00,sqft,98115,1040000.00
5.00,3.00,3120.00,sqft,7865.00,sqft,98178,795000.00
4.00,2.00,1680.00,sqft,7840.00,sqft,98178,517500.00
5.00,3.00,2430.00,sqft,7812.00,sqft,98133,915000.00
3.00,1.00,830.00,sqft,7800.00,sqft,98125,660000.00
3.00,2.00,2100.00,sqft,7800.00,sqft,98168,510000.00
5.00,2.00,2920.00,sqft,7800.00,sqft,98117,1359000.00
4.00,2.00,3220.00,sqft,7800.00,sqft,98177,2000000.00
3.00,2.00,2100.00,sqft,7800.00,sqft,98136,845000.00
3.00,2.00,2770.00,sqft,7770.00,sqft,98115,700000.00
4.00,2.00,2080.00,sqft,7740.00,sqft,98106,750000.00
4.00,2.00,1730.00,sqft,7723.00,sqft,98126,875000.00
4.00,3.00,2120.00,sqft,7721.00,sqft,98126,920000.00
5.00,3.00,2820.00,sqft,7707.00,sqft,98117,1550000.00
4.00,3.00,3300.00,sqft,7700.00,sqft,98199,1995000.00
5.00,2.50,3960.00,sqft,7680.00,sqft,98199,1850000.00
3.00,2.00,1705.00,sqft,7680.00,sqft,98177,910000.00
3.00,2.00,1360.00,sqft,7680.00,sqft,98125,830000.00
4.00,3.00,2110.00,sqft,7680.00,sqft,98115,1180000.00
3.00,1.00,1340.00,sqft,7669.00,sqft,98177,785000.00
4.00,4.50,5200.00,sqft,7653.00,sqft,98118,2600000.00
4.00,3.50,3057.00,sqft,7650.00,sqft,98117,1800000.00
3.00,3.00,1660.00,sqft,7650.00,sqft,98117,1200000.00
5.00,3.50,3930.00,sqft,7650.00,sqft,98133,1800000.00
4.00,2.50,2250.00,sqft,7650.00,sqft,98106,924900.00
5.00,2.00,2160.00,sqft,7620.00,sqft,98106,795000.00
4.00,3.50,2720.00,sqft,7598.00,sqft,98115,1395000.00
5.00,3.50,3700.00,sqft,7581.00,sqft,98122,2075000.00
5.00,2.00,3210.00,sqft,7578.00,sqft,98115,688000.00
3.00,1.00,1920.00,sqft,7550.00,sqft,98146,456000.00
3.00,2.50,2650.00,sqft,7548.00,sqft,98136,1112000.00
2.00,2.50,1490.00,sqft,7547.00,sqft,98115,855000.00
3.00,3.50,3380.00,sqft,7531.00,sqft,98177,1599500.00
2.00,1.00,1440.00,sqft,7531.00,sqft,98133,675000.00
3.00,2.00,1731.00,sqft,7514.00,sqft,98125,575000.00
2.00,1.00,720.00,sqft,7500.00,sqft,98177,600000.00
4.00,2.00,2340.00,sqft,7500.00,sqft,98115,925000.00
5.00,3.00,2170.00,sqft,7500.00,sqft,98178,775000.00
4.00,3.00,2900.00,sqft,7500.00,sqft,98136,1175000.00
3.00,2.00,1910.00,sqft,7500.00,sqft,98136,725000.00
3.00,2.50,3020.00,sqft,7500.00,sqft,98177,1450000.00
3.00,2.50,1620.00,sqft,7500.00,sqft,98106,875100.00
2.00,1.00,740.00,sqft,7500.00,sqft,98126,553500.00
2.00,1.00,1820.00,sqft,7500.00,sqft,98125,1037300.00
3.00,2.00,1160.00,sqft,7500.00,sqft,98178,566000.00
4.00,2.00,2634.00,sqft,7475.00,sqft,98115,1500000.00
4.00,3.50,2900.00,sqft,7470.00,sqft,98125,1337000.00
4.00,3.50,5690.00,sqft,7469.00,sqft,98112,3630000.00
5.00,2.50,3460.00,sqft,7464.00,sqft,98144,2425000.00
4.00,3.00,1920.00,sqft,7455.00,sqft,98125,2095000.00
4.00,2.00,1800.00,sqft,7455.00,sqft,98117,1100000.00
2.00,2.00,1470.00,sqft,7443.00,sqft,98125,707000.00
4.00,1.50,2640.00,sqft,7440.00,sqft,98115,1850000.00
3.00,2.50,2000.00,sqft,7440.00,sqft,98106,799000.00
2.00,1.00,1260.00,sqft,7440.00,sqft,98133,626000.00
2.00,1.00,1330.00,sqft,7425.00,sqft,98125,479000.00
2.00,1.00,1150.00,sqft,7425.00,sqft,98118,575000.00
3.00,1.00,1120.00,sqft,7407.00,sqft,98178,708000.00
2.00,2.00,1960.00,sqft,7405.00,sqft,98168,580000.00
4.00,3.00,3410.00,sqft,7389.00,sqft,98144,1850000.00
4.00,3.00,2970.00,sqft,7350.00,sqft,98118,720000.00
3.00,3.50,3290.00,sqft,7338.00,sqft,98126,1400000.00
3.00,3.00,2110.00,sqft,7324.00,sqft,98177,1270000.00
3.00,2.00,2350.00,sqft,7320.00,sqft,98178,888000.00
4.00,3.00,1700.00,sqft,7320.00,sqft,98146,649000.00
4.00,1.00,1190.00,sqft,7320.00,sqft,98106,463900.00
3.00,1.00,950.00,sqft,7320.00,sqft,98106,589000.00
3.00,3.00,1790.00,sqft,7286.00,sqft,98125,755000.00
4.00,2.00,1670.00,sqft,7260.00,sqft,98106,650000.00
3.00,1.00,1090.00,sqft,7258.00,sqft,98133,630000.00
5.00,3.00,2140.00,sqft,7244.00,sqft,98125,850000.00
3.00,1.00,910.00,sqft,7242.00,sqft,98168,480000.00
3.00,2.00,1770.00,sqft,7242.00,sqft,98168,500000.00
3.00,2.50,2783.00,sqft,7206.00,sqft,98199,1640000.00
5.00,3.50,3820.00,sqft,7200.00,sqft,98118,1350000.00
3.00,2.50,2350.00,sqft,7200.00,sqft,98115,1582800.00
4.00,2.00,2080.00,sqft,7200.00,sqft,98178,675000.00
3.00,3.00,1460.00,sqft,7200.00,sqft,98144,1000000.00
3.00,2.00,2020.00,sqft,7200.00,sqft,98133,917500.00
4.00,3.00,2360.00,sqft,7200.00,sqft,98115,1360000.00
2.00,2.00,1510.00,sqft,7200.00,sqft,98105,915000.00
2.00,2.00,1030.00,sqft,7200.00,sqft,98125,826500.00
4.00,3.00,2297.00,sqft,7200.00,sqft,98178,783000.00
3.00,2.50,1690.00,sqft,7200.00,sqft,98125,807500.00
3.00,1.00,1450.00,sqft,7200.00,sqft,98115,1125000.00
